mille quatre cent trente-neuf	NUM
mille quatre cent quarante	NUM
mille quatre cent quarante et un	NUM
mille quatre cent quarante-quatre	NUM
mille quatre cent quarante-deux	NUM
mille quatre cent quarante-trois	NUM
mille quatre cent quarante-cinq	NUM
mille quatre cent quarante-six	NUM
mille quatre cent quarante-sept	NUM
mille quatre cent quarante-huit	NUM
mille quatre cent quarante-neuf	NUM
mille quatre cent cinquante	NUM
mille quatre cent cinquante et un	NUM
mille quatre cent cinquante-quatre	NUM
mille quatre cent cinquante-deux	NUM
mille quatre cent cinquante-trois	NUM
mille quatre cent cinquante-cinq	NUM
mille quatre cent cinquante-six	NUM
mille quatre cent cinquante-sept	NUM
mille quatre cent cinquante-huit	NUM
mille quatre cent cinquante-neuf	NUM
mille quatre cent septante	NUM
mille quatre cent septante et un	NUM
mille quatre cent septante-quatre	NUM
mille quatre cent septante-deux	NUM
mille quatre cent septante-trois	NUM
mille quatre cent septante-cinq	NUM
mille quatre cent septante-six	NUM
mille quatre cent septante-sept	NUM
mille quatre cent septante-huit	NUM
mille quatre cent septante-neuf	NUM
mille quatre cent octante	NUM
mille quatre cent octante et un	NUM
mille quatre cent octante-quatre	NUM
mille quatre cent octante-deux	NUM
mille quatre cent octante-trois	NUM
mille quatre cent octante-cinq	NUM
mille quatre cent octante-six	NUM
mille quatre cent octante-sept	NUM
mille quatre cent octante-huit	NUM
mille quatre cent octante-neuf	NUM
mille quatre cent huitante	NUM
mille quatre cent huitante et un	NUM
mille quatre cent huitante-quatre	NUM
mille quatre cent huitante-deux	NUM
mille quatre cent huitante-trois	NUM
mille quatre cent huitante-cinq	NUM
mille quatre cent huitante-six	NUM
mille quatre cent huitante-sept	NUM
mille quatre cent huitante-huit	NUM
mille quatre cent huitante-neuf	NUM
mille quatre cent nonante	NUM
mille quatre cent nonante et un	NUM
mille quatre cent nonante-quatre	NUM
mille quatre cent nonante-deux	NUM
mille quatre cent nonante-trois	NUM
mille quatre cent nonante-cinq	NUM
mille quatre cent nonante-six	NUM
mille quatre cent nonante-sept	NUM
mille quatre cent nonante-huit	NUM
mille quatre cent nonante-neuf	NUM
mille quatre cent quatre	NUM
mille quatre cent deux	NUM
mille quatre cent trois	NUM
mille quatre cent cinq	NUM
mille quatre cent six	NUM
mille quatre cent sept	NUM
mille quatre cent huit	NUM
mille quatre cent neuf	NUM
mille deux	NUM
mille deux cent un	NUM
mille deux cent soixante	NUM
mille deux cent soixante et un	NUM
mille deux cent soixante et onze	NUM
mille deux cent soixante-dix	NUM
mille deux cent soixante-dix-sept	NUM
mille deux cent soixante-dix-huit	NUM
