mille cent octante-huit	ADJ
mille cent octante-neuf	ADJ
mille cent huitante	ADJ
mille cent huitante et un	ADJ
mille cent huitante-quatre	ADJ
mille cent huitante-deux	ADJ
mille cent huitante-trois	ADJ
mille cent huitante-cinq	ADJ
mille cent huitante-six	ADJ
mille cent huitante-sept	ADJ
mille cent huitante-huit	ADJ
mille cent huitante-neuf	ADJ
mille cent nonante	ADJ
mille cent nonante et un	ADJ
mille cent nonante-quatre	ADJ
mille cent nonante-deux	ADJ
mille cent nonante-trois	ADJ
mille cent nonante-cinq	ADJ
mille cent nonante-six	ADJ
mille cent nonante-sept	ADJ
mille cent nonante-huit	ADJ
mille cent nonante-neuf	ADJ
mille cent quatre	ADJ
mille cent deux	ADJ
mille cent trois	ADJ
mille cent cinq	ADJ
mille cent six	ADJ
mille cent sept	ADJ
mille cent huit	ADJ
mille cent neuf	ADJ
mille dix-sept	ADJ
mille dix-huit	ADJ
mille dix-neuf	ADJ
mille douze	ADJ
mille treize	ADJ
mille quatorze	ADJ
mille quinze	ADJ
mille seize	ADJ
mille vingt	ADJ
mille vingt et un	ADJ
mille vingt-quatre	ADJ
mille vingt-deux	ADJ
mille vingt-trois	ADJ
mille vingt-cinq	ADJ
mille vingt-six	ADJ
mille vingt-sept	ADJ
mille vingt-huit	ADJ
mille vingt-neuf	ADJ
mille trente	ADJ
mille trente et un	ADJ
mille trente-quatre	ADJ
mille trente-deux	ADJ
mille trente-trois	ADJ
mille trente-cinq	ADJ
mille trente-six	ADJ
mille trente-sept	ADJ
mille trente-huit	ADJ
mille trente-neuf	ADJ
mille quarante	ADJ
mille quarante et un	ADJ
mille quarante-quatre	ADJ
mille quarante-deux	ADJ
mille quarante-trois	ADJ
mille quarante-cinq	ADJ
mille quarante-six	ADJ
mille quarante-sept	ADJ
mille quarante-huit	ADJ
mille quarante-neuf	ADJ
mille cinquante	ADJ
mille cinquante et un	ADJ
mille cinquante-quatre	ADJ
mille cinquante-deux	ADJ
mille cinquante-trois	ADJ
mille cinquante-cinq	ADJ
mille cinquante-six	ADJ
mille cinquante-sept	ADJ
mille cinquante-huit	ADJ
mille cinquante-neuf	ADJ
mille septante	ADJ
mille septante et un	ADJ
mille septante-quatre	ADJ
mille septante-deux	ADJ
mille septante-trois	ADJ
mille septante-cinq	ADJ
mille septante-six	ADJ
mille septante-sept	ADJ
mille septante-huit	ADJ
mille septante-neuf	ADJ
mille octante	ADJ
mille octante et un	ADJ
mille octante-quatre	ADJ
mille octante-deux	ADJ
mille octante-trois	ADJ
mille octante-cinq	ADJ
mille octante-six	ADJ
mille octante-sept	ADJ
mille octante-huit	ADJ
mille octante-neuf	ADJ
mille huitante	ADJ
mille huitante et un	ADJ
mille huitante-quatre	ADJ
mille huitante-deux	ADJ
mille huitante-trois	ADJ
mille huitante-cinq	ADJ
mille huitante-six	ADJ
mille huitante-sept	ADJ
mille huitante-huit	ADJ
mille huitante-neuf	ADJ
mille nonante	ADJ
mille nonante et un	ADJ
mille nonante-quatre	ADJ
mille nonante-deux	ADJ
mille nonante-trois	ADJ
mille nonante-cinq	ADJ
mille nonante-six	ADJ
mille nonante-sept	ADJ
mille nonante-huit	ADJ
mille nonante-neuf	ADJ
mille quatre	ADJ
mille quatre cent un	ADJ
mille quatre cent soixante	ADJ
mille quatre cent soixante et un	ADJ
mille quatre cent soixante et onze	ADJ
mille quatre cent soixante-dix	ADJ
